Team,Total_Win_Probability
Argentina,7.7633333333333345
Panama,7.563333333333335
France,7.483333333333333
Brazil,6.7166666666666694
Belgium,6.3900000000000015
Germany,5.413333333333334
Egypt,5.293333333333332
Netherlands,4.7700000000000005
England,4.536666666666666
Mexico,4.51
Croatia,4.299999999999999
Morocco,4.053333333333333
Greece,3.843333333333332
Türkiye,3.8366666666666656
Qatar,3.7366666666666655
Ukraine,3.509999999999999
Russia,3.319999999999998
Peru,3.149999999999998
Spain,2.98
IR Iran,2.9399999999999995
Colombia,2.8833333333333315
Serbia,2.873333333333332
Italy,2.846666666666666
Portugal,2.7166666666666672
Australia,2.686666666666666
Switzerland,2.4466666666666668
Poland,2.3599999999999985
Nigeria,2.1999999999999984
Côte d'Ivoire,2.0366666666666684
Algeria,1.8766666666666671
Korea Republic,1.8700000000000019
Slovakia,1.733333333333334
Ecuador,1.4900000000000009
Sweden,1.456666666666667
Canada,1.3500000000000008
Senegal,1.3033333333333341
Japan,1.2700000000000014
Wales,1.2366666666666666
Uruguay,1.2233333333333334
Denmark,0.8899999999999995
